Абазинский,abq
Абхазский,abk
Авадхи,awa
Аварский,ava
Авестийский,ave
Адангме,ada
Адыгейский,ady
Азербайджанский,aze
Аймара,aym
Айну,ain
Акан,aka
Аккадский,akk
Албанский,sqi
Алеутский,ale
Алтайский,alt
Амхарский,amh
Английский,eng
Арабский,ara
Аравакский,arw
Арамейский,arc
Арапахо,arp
Арауканский,arn
Армянский,hye/axm/xcl
Ассамский,asm
Ассирийский,aii
Атапачские,ath
Афарский,aar
Африкаанс,afr
Африхили,afh
Ахвахский,akv
Ацтекский,nah
Ачехский,ace
Ачоли,ach
Балийский,ban
Бамбара,bam
Банда,bad
Баса,bas
Баскский,eus
Башкирский,bak
Беджа,bej
Белорусский,bel
Белуджский,bal
Бемба,bem
Бенгальский,ben
Бикольский,bik
Бини,bin
Бирманский,mya
Бислама,bis
Болгарский,bul
Боснийский,bos
Брауи,brh
Бретонский,bre
Бугийский,bug
Бурятский,bua
Бходжпури,bho
Ваи,vai
Валлийский,cym
Варай,war
Вашо,was
Венгерский,hun
Венда,ven
Вепсский,vep
Воламо,wal
Волапюк,vol
Волоф,wol
Вьетнамский,vie
Га,gaa
Гавайский,haw
Гагаузский,gag
Гайо,gay
Галисийский,glg
Ганда,lug
Гереро,her
Геэз,gez
Гилбертский,gil
Гонди,gon
Готский,got
Гребо,grb
Гренландский,kal
Греческий (новогреческий),ell
Грузинский,kat
Гуарани,grn
Гуджарати,guj
Гэльский,gla
Дакота,dak
Даргинский,dar
Датский,dan
Делавэрский,del
Дзонг-кэ,dzo
Дивехи (Мальдивский),div
Динка,din
Диула (Дьюла),dyu
Догри,doi
Древнегреческий,grc
Древнеегипетский,egy
Древнерусский,orv
Древнесаксонский,osx
Дуала,dua
Дунганский,dng
Еврейско-арабский,jrb
Еврейско-персидский,jpr
Зенагский,zen
Зулу,zul
Зуньи,zun
Ибанский,iba
Иврит,heb
Игбо,ibo
Идиш,yid
Илоко,ilo
Ингушский,inh
Индонезийский,ind
Интерлингва,ina
Интерлингве,ile
Инуктитут,iku
Инупиак,ipk
Ирландский,gle
Исландский,isl
Испанский,spa
Итальянский,ita
Ительменский,itl
Йоруба,yor
Кабардино-черкесский,kbd
Кабильский,kab
Кави,kaw
Каддо,cad
Казахский,kaz
Калмыцкий,xal
Камба,kam
Каннада,kan
Канури,kau
Караимский,kdr
Каракалпакский,kaa
Карачаево-балкарский,krc
Карельский,krl
Кариб,car
Каталанский,cat
Качинский,kac
Кашмири,kas
Кечуа,que
Кикуйю,kik
Киньяма,kua
Киргизский,kir
Китайский,zho
Коми,kom
Коми-пермяцкий,koi
Конго,kon
Конкани,kok
Коптский,cop
Корейский,kor
Корнский,cor
Корсиканский,cos
Корякский,kpy
Коса,xho
Кпелле,kpe
Крик,mus
Крымско-татарский,crh
Кумыкский,kum
Курдский,kur
Курух,kru
Кусайе,kos
Кутенай,kut
Кхаси,kha
Кхмерский,khm
Ладино,lad
Лакский,lbe
Ламба,lam
Лаосский,lao
Латинский,lat
Латышский,lav
Лахнда,lah
Лезгинский,lez
Лингала,lin
Литовский,lit
Лози,loz
Луба-катанга,lub
Луисеньо,lui
Лунда,lun
Луо (Кения и Танзания),luo
Люксембургский,ltz
Магахи,mag
Мадурский,mad
Майтхили,mai
Макассарский,mak
Македонский,mkd
Малагасийский,mlg
Малайский,msa
Малаялам,mal
Мальтийский,mlt
Мандинго,man
Манипури,mni
Мансийский (Вогульский),mns
Маори,mri
Маратхи,mar
Марвари,mwr
Марийский (черемисский),chm
Маршалльский,mah
Масаи,mas
Менде,men
Микмак,mic
Минангкабау,min
Мокшанский,mdf
Молдавский,mol
Монго,lol
Монгольский,mon
Мооре,mos
Мохаук,moh
Мэнский (Мэнкский),glv
Навахо,nav
Нанайский (гольдский),gld
Науру,nau
Ндебеле северный,nde
Ндебеле южный,nbl
Ндунга,ndo
Неварский,new
Неидентифицированный,und
Немецкий,deu
Ненецкий (юрако-самоедский),yrk
Непальский,nep
Нзима,nzi
Нивхский (гиляцкий),niv
Нидерландский (Голландский),nld
Нидерландский средневековый,dum
Ниуэ,niu
Ногайский,nog
Норвежский [Norsk (bokm?l)]?,nor
Ньоро,nyo
Ньямвези,nym
Ньянджа,nya
Ньянколе,nyn
Нюнорск (новонорвежский) [Norsk (nynorsk)]?,nno
Оджибве,oji
Окситанский,oci
Ория,ori
Оромо,orm
Оседжи,osa
Осетинский,oss
Палау,pau
Пали,pli
Пампанга,pam
Пангасинан,pag
Папьяменто,pap
Пенджабский,pan
Персидский,fas
Пехлевийский,pal
Польский,pol
Понапе,pon
Португальский,por
Пушту,pus
